1	40	57	86	108	124	141	150
2	31	29	28	21	30	36	56
4	31	16	17	19	34	46	40
8	27	10	14	15	19	23	37
16	15	10	15	12	22	19	39
32	11	9	11	14	20	22	32
64	10	8	6	10	15	30	34
128	15	14	14	15	16	26	34
256	37	26	27	29	27	26	38
512	61	58	61	55	65	59	58
1024	127	118	115	133	127	116	128
